Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
Tom	5:0 3/4/2020	167
tanmay	5:0 3/4/2020	193
TomH	5:0 3/4/2020	93
Tom	5:0 3/4/2020	141
tanmay	5:0 3/4/2020	143
Lana	5:0 3/4/2020	98
qwert	5:0 3/4/2020	105
Tom	5:0 3/4/2020	103
Lana	5:0 3/4/2020	113
Jim	5:0 3/4/2020	110
Mike	17:12 3/4/2020	146
Tom	17:12 3/4/2020	113
tanmay	17:12 3/4/2020	136
Mike	17:21 3/4/2020	142
Tom	17:21 3/4/2020	127
Tom	20:11 3/4/2020	102
TomH	20:11 3/4/2020	184
